Usprawnianie zarządzania w samorządzie terytorialnym poprzez budżet ,"Grażyna Michalczuk
                        , 
                                                                                        Urszula Zawadzka-Pąk
                        , 
                                                                                        Joanna M. Salachna","['Książki / biznes / bankowość i finanse', 'Książki / prawo / administracyjne']",okładka miękka,Wolters Kluwer Polska,220,2017-07-23,"120,00 zł"
Etyka w systemie edukacji w Polsce ,"JOANNA MADALIŃSKA-MICHALAK
                        , 
                                                                                        Szymon Więsław
                        , 
                                                                                        Antoni Jeżowski","['Książki / biznes / zarządzanie', 'Książki / nauki humanistyczne / pedagogika', 'Książki / prawo']",okładka miękka,Wolters Kluwer Polska,376,2017-06-21,"46,00 zł"
Zarządzanie marketingiem w kancelarii prawniczej ,Andrzej Kłosowski,"['Książki / biznes / marketing', 'Książki / biznes / zarządzanie', 'Książki / prawo / zagadnienia ogólne']",okładka miękka,Wolters Kluwer Polska,364,2017-06-26,"120,00 zł"
Ruch kadrowy nauczycieli i pracowników niepedagogicznych w czasie reformy ustroju szkolnego ,"ELŻBIETA PIOTROWSKA-ALBIN
                        , 
                                                                                        LIDIA MARCINIAK","['Książki / biznes / zarządzanie', 'Książki / prawo / pracy', 'Książki / prawo / inne gałęzie prawa']",okładka miękka,Wolters Kluwer Polska,92,2017-04-19,"73,50 zł"
Opłata skarbowa w polskim porządku prawnym ,"Dobrosława Antonów
                        , 
                                                                                        W","['Książki / biznes / bankowość i finanse', 'Książki / prawo / podatkowe', 'Książki / prawo / finansowe']",okładka twarda,Wolters Kluwer Polska,584,2017-06-28,"129,50 zł"
Odpowiedzialność biegłego rewidenta ,"Anna Krysiak
                        , 
                                                                                        Jakub Żelazek
                        , 
                                                                                        Mateusz Olewiński
                        , 
                                                                                        Marek Wierzbowski","['Książki / biznes / rachunkowość', 'Książki / prawo / podatkowe', 'Książki / prawo / finansowe']",okładka miękka,Wolters Kluwer Polska,196,2017-07-18,"120,00 zł"
"Gimnazja w Polsce: efekty edukacyjne, finanse, organizacja ",Antoni Jeżowski,"['Książki / biznes / zarządzanie', 'Książki / prawo / inne gałęzie prawa']",okładka miękka,Wolters Kluwer Polska,242,2017-04-06,"36,50 zł"
Zagadnienia prawne i ekonomiczne dotyczące umów ubezpieczeń na życie ,"Magdalena Natalia Szczepańska
                        , 
                                                                                        Marian Wiśniewski
                        , 
                                                                                        Mariusz Fras
                        , 
                                                                                        Tadeusz Ryszard Szumlicz
                        , 
                                                                                        Piotr Machnikowski
                        , 
                                                                                        Marcin Krajewski
                        , 
                                                                                        Paweł Wajda
                        , 
                                                                                        Jacek Lisowski","['Książki / biznes / praca', 'Książki / prawo / pracy']",okładka miękka,Wolters Kluwer Polska,224,2017-03-29,"120,00 zł"
Konkurencyjność kancelarii prawnych ,Marek Gnusowski,['Książki / biznes / zarządzanie'],okładka miękka,Wolters Kluwer Polska,264,2017-04-06,"92,50 zł"
Komercyjne świadczenie usług medycznych przez szpitale publiczne ,"Sebastian Sikorski
                        , 
                                                                                        Waldemar Malinowski
                        , 
                                                                                        Ewelina Nojszewska","['Książki / biznes / marketing', 'Książki / prawo']",okładka miękka,Wolters Kluwer Polska,204,2017-03-29,"129,50 zł"
MAR. Rozporządzenie Parlamentu Europejskiego i Rady w sprawie nadużyć na rynku. Komentarz ,"Angelina Stokłosa
                        , 
                                                                                        Szymon Syp","['Książki / biznes / bankowość i finanse', 'Książki / prawo / handlowe', 'Książki / prawo / podatkowe', 'Książki / prawo / gospodarcze', 'Książki / prawo / finansowe']",okładka twarda,Wolters Kluwer Polska,316,2017-01-24,"129,50 zł"
Model wyceny świadczeń zdrowotnych dla lecznictwa szpitalnego ,Magdalena Kludacz-Alessandri,"['Książki / biznes / bankowość i finanse', 'Książki / biznes / marketing', 'Książki / prawo']",okładka miękka,Wolters Kluwer Polska,334,2017-02-19,"92,50 zł"
Ustawa o wdrożeniu niektórych przepisów Unii Europejskiej w zakresie równego traktowania. Komentarz ,"Karolina  Kędziora
                        , 
                                                                                        Maciej Kułak
                        , 
                                                                                        Zofia Jabłońska
                        , 
                                                                                        Krzysztof Śmiszek","['Książki / biznes / ekonomia', 'Książki / prawo / międzynarodowe', 'Książki / prawo / konstytucyjne i ustrojowe']",okładka twarda,Wolters Kluwer Polska,280,2016-12-18,"139,00 zł"
